 id lat lon dep mw label clon clat cdep
0 200707311258A 28.25 138.779998779 525.599975586 5.39 0 159.597503662 58.9799995422 1
1 201406301955A 28.4200000763 138.75 522.900024414 6.23 0 159.597503662 58.9799995422 1
2 201202281507A 28.2299995422 139.309997559 504.100006104 5.54 0 159.597503662 58.9799995422 1
3 201101122132A 26.9400005341 139.940002441 511.5 6.51 0 159.597503662 58.9799995422 1
4 201008130133A 48.1300010681 148.660003662 394.100006104 5.41 2 163.850006104 68.7339935303 1
5 201011021810A 46.8199996948 146.869995117 362.399993896 5.46 2 163.850006104 68.7339935303 1
6 200907100049A 47.7799987793 148.38999939 387.700012207 5.35 2 163.850006104 68.7339935303 1
7 201308312352A 47.8600006104 148.119995117 389.299987793 5.73 2 163.850006104 68.7339935303 1
8 200609131325A 46.75 146.460006714 351.100006104 5.32 2 163.850006104 68.7339935303 1
9 201410021257A 52.2900009155 158.410003662 151.699996948 5.77 3 169.148330688 71.5116577148 0
10 200605221308A 54.1899986267 158.869995117 198.0 6.19 3 169.148330688 71.5116577148 0
11 201305030610A 52.5900001526 157.61000061 167.199996948 5.41 3 169.148330688 71.5116577148 0
12 200907012053A 13.0399999619 143.779998779 176.699996948 5.38 4 162.147476196 51.7249946594 0
13 200502020230A 13.8599996567 144.809997559 159.399993896 6.27 4 162.147476196 51.7249946594 0
14 201007040521A 18.5699996948 145.020004272 450.899993896 5.38 6 162.422470093 54.4574966431 1
15 201003080947A 19.2600002289 144.669998169 432.200012207 6.08 6 162.422470093 54.4574966431 1
16 201412102103A 25.5100002289 122.400001526 262.0 6.14 7 151.379989624 57.7199935913 1
17 201602021419A 25.5100002289 123.379997253 201.0 5.72 7 151.379989624 57.7199935913 1
18 201605310523A 25.4200000763 122.349998474 250.399993896 6.36 7 151.379989624 57.7199935913 1
19 201110300323A 25.3199996948 122.910003662 213.100006104 5.67 7 151.379989624 57.7199935913 1
20 200909222259A 27.0499992371 140.330001831 418.299987793 5.33 8 159.976104736 58.6694450378 1
21 201409211732A 28.0100002289 139.460006714 486.299987793 5.45 8 159.976104736 58.6694450378 1
22 200807202130A 27.8099994659 139.600006104 485.600006104 5.83 8 159.976104736 58.6694450378 1
23 200512290830A 27.4400005341 139.820007324 478.5 5.3 8 159.976104736 58.6694450378 1
24 201107151800A 27.1000003815 139.970001221 476.200012207 5.35 8 159.976104736 58.6694450378 1
25 201110040137A 26.7299995422 140.350006104 439.600006104 5.65 8 159.976104736 58.6694450378 1
26 201611230959A 27.3600006104 140.020004272 491.100006104 5.82 8 159.976104736 58.6694450378 1
27 201506231218A 27.6800003052 139.850006104 458.5 6.51 8 159.976104736 58.6694450378 1
28 201205262148A 26.8700008392 140.169998169 472.100006104 5.96 8 159.976104736 58.6694450378 1
29 200912100230A 53.4399986267 152.770004272 655.700012207 6.28 9 166.062484741 71.4499969482 1
30 201305241456A 52.3600006104 151.479995728 642.400024414 6.73 9 166.062484741 71.4499969482 1
31 201507152216A 18.8899993896 145.11000061 516.0 5.43 10 162.636642456 54.2858276367 1
32 201311191700A 18.5400009155 145.179992676 515.200012207 6.0 10 162.636642456 54.2858276367 1
33 201405232120A 18.9699993134 145.029998779 541.599975586 5.74 10 162.636642456 54.2858276367 1
34 201511241321A 18.8199996948 145.259994507 582.5 5.97 10 162.636642456 54.2858276367 1
35 200502041606A 17.5400009155 145.550003052 514.299987793 5.33 10 162.636642456 54.2858276367 1
36 200604010544A 18.6700000763 145.509994507 526.299987793 5.36 10 162.636642456 54.2858276367 1
37 201103031152A 46.8600006104 151.210006714 175.100006104 5.43 12 165.322494507 68.3199920654 0
38 201011062057A 46.4199981689 150.080001831 162.100006104 5.35 12 165.322494507 68.3199920654 0
39 200603141404A 48.0400009155 147.460006714 420.299987793 5.33 13 163.592483521 68.9299926758 1
40 201607230100A 47.6800003052 146.910003662 423.200012207 5.83 13 163.592483521 68.9299926758 1
41 201601052159A 22.0300006866 143.869995117 174.699996948 5.71 15 162.006668091 55.9833297729 0
42 201303010329A 21.8600006104 144.220001221 152.100006104 5.47 15 162.006668091 55.9833297729 0
43 201305122305A 22.0100002289 143.949996948 156.100006104 5.55 15 162.006668091 55.9833297729 0
44 201603140703A 29.7600002289 129.11000061 225.800003052 5.64 18 154.220001221 59.6483268738 1
45 201008071604A 29.4799995422 128.320007324 236.0 5.33 18 154.220001221 59.6483268738 1
46 201708161251A 28.6499996185 127.88999939 205.5 5.73 18 154.220001221 59.6483268738 1
47 200606161829A 46.4399986267 144.559997559 375.299987793 5.34 20 162.23374939 68.314994812 1
48 200809180929A 46.1800003052 143.490005493 343.799987793 5.36 20 162.23374939 68.314994812 1
