 id lat lon dep label clon clat cdep
0 201610200625A 22.26 143.97 122.4 1 161.969985962 56.0719985962 0
1 201305122305A 22.01 143.95 156.1 1 161.969985962 56.0719985962 0
2 201102221409A 22.23 143.98 106.3 1 161.969985962 56.0719985962 0
3 201601052159A 22.03 143.87 174.7 1 161.969985962 56.0719985962 0
4 011401A 22.19 143.93 112.5 1 161.969985962 56.0719985962 0
5 201607230100A 47.68 146.91 423.2 2 163.414993286 68.9099960327 1
6 030702A 47.97 146.93 453.8 2 163.414993286 68.9099960327 1
7 201811021101A 47.81 146.65 446.7 2 163.414993286 68.9099960327 1
8 200611221115A 44.08 146.75 105.5 3 163.019989014 66.9662475586 0
9 200707010412A 43.64 144.81 130.2 3 163.019989014 66.9662475586 0
10 200509210225A 43.9 146.41 107.2 3 163.019989014 66.9662475586 0
11 200703300905A 44.11 146.19 102.9 3 163.019989014 66.9662475586 0
12 200909031326A 31.08 130.19 168.4 4 155.101669312 60.4133338928 0
13 200511211536A 30.97 130.31 155.0 4 155.101669312 60.4133338928 0
14 201811201909A 30.43 130.11 129.3 4 155.101669312 60.4133338928 0
15 201709071726A 27.79 139.75 459.8 6 159.963745117 58.7324943542 1
16 201205262148A 26.87 140.17 472.1 6 159.963745117 58.7324943542 1
17 201110040137A 26.73 140.35 439.6 6 159.963745117 58.7324943542 1
18 060302A 27.5 139.86 491.2 6 159.963745117 58.7324943542 1
19 201506231218A 27.68 139.85 458.5 6 159.963745117 58.7324943542 1
20 201809011543A 27.98 139.82 449.4 6 159.963745117 58.7324943542 1
21 200807202130A 27.81 139.6 485.6 6 159.963745117 58.7324943542 1
22 201611230959A 27.36 140.02 491.1 6 159.963745117 58.7324943542 1
23 201605310523A 25.42 122.35 250.4 7 151.379989624 57.7199935913 1
24 201110300323A 25.32 122.91 213.1 7 151.379989624 57.7199935913 1
25 201412102103A 25.51 122.4 262.0 7 151.379989624 57.7199935913 1
26 201602021419A 25.51 123.38 201.0 7 151.379989624 57.7199935913 1
27 071702A 48.5 153.27 143.9 8 166.229995728 68.7762451172 0
28 200703121859A 46.82 152.09 136.3 8 166.229995728 68.7762451172 0
29 070804A 47.12 151.69 132.8 8 166.229995728 68.7762451172 0
30 200910102124A 47.77 152.79 125.6 8 166.229995728 68.7762451172 0
31 201101122132A 26.94 139.94 511.5 9 159.666656494 58.9316596985 1
32 201202281507A 28.23 139.31 504.1 9 159.666656494 58.9316596985 1
33 201406301955A 28.42 138.75 522.9 9 159.666656494 58.9316596985 1
34 201703130849A 14.32 145.31 107.6 10 162.51713562 51.9007110596 0
35 200906191506A 13.73 145.33 109.8 10 162.51713562 51.9007110596 0
36 201408130030A 13.85 145.16 101.5 10 162.51713562 51.9007110596 0
37 201705091952A 13.48 144.97 128.4 10 162.51713562 51.9007110596 0
38 200502020230A 13.86 144.81 159.4 10 162.51713562 51.9007110596 0
39 201007100539A 13.83 145.15 146.2 10 162.51713562 51.9007110596 0
40 201409170614A 13.54 144.51 140.4 10 162.51713562 51.9007110596 0
41 201104160111A 25.3 123.98 138.1 14 151.691665649 57.5116653442 0
42 200510151551A 25.29 123.43 194.6 14 151.691665649 57.5116653442 0
43 101504A 24.48 122.74 102.1 14 151.691665649 57.5116653442 0
44 021500A 17.67 145.54 525.5 15 162.626235962 54.2499961853 1
45 201405232120A 18.97 145.03 541.6 15 162.626235962 54.2499961853 1
46 201511241321A 18.82 145.26 582.5 15 162.626235962 54.2499961853 1
47 201311191700A 18.54 145.18 515.2 15 162.626235962 54.2499961853 1
48 201603140703A 29.76 129.11 225.8 17 154.190002441 59.6316604614 1
49 201708161251A 28.65 127.89 205.5 17 154.190002441 59.6316604614 1
50 201907130057A 29.38 128.14 254.2 17 154.190002441 59.6316604614 1
51 201003080947A 19.26 144.67 432.2 19 162.234985352 54.7724914551 1
52 201906281551A 19.83 144.27 421.8 19 162.234985352 54.7724914551 1
53 201810131110A 52.71 153.43 473.4 20 166.61000061 71.3324966431 1
54 201801181208A 52.62 153.01 470.5 20 166.61000061 71.3324966431 1
55 200705302022A 52.01 157.78 123.0 21 169.17666626 71.4150009155 0
56 201410021257A 52.29 158.41 151.7 21 169.17666626 71.4150009155 0
57 200605221308A 54.19 158.87 198.0 21 169.17666626 71.4150009155 0
58 201705310629A 19.1 146.06 122.8 22 162.970993042 54.4459991455 0
59 201709141741A 18.68 145.96 177.4 22 162.970993042 54.4459991455 0
60 200812021231A 19.17 145.99 118.7 22 162.970993042 54.4459991455 0
61 201912191155A 18.5 145.65 195.5 22 162.970993042 54.4459991455 0
62 201902121234A 19.01 146.05 139.0 22 162.970993042 54.4459991455 0
