event_id duration amp_corr num_win duration_gcmt
201501280243A 1.0 1.0399999618530273 255.0 6.0
201511020304A 4.0 1.1399999856948853 177.0 3.2
201601130555A 1.0 1.0199999809265137 303.0 4.4
201602011900A 5.75 1.1799999475479126 76.0 6.6
201606030828A 1.0 1.2000000476837158 64.0 3.0
201801251041A 1.0 1.2400000095367432 234.0 2.6
201806231338A 1.0 0.625 0.0 10.6
201809301052A 1.0 1.600000023841858 1.0 4.2
201412310247A 1.75 1.1799999475479126 39.0 2.8
201504020410A 3.0 0.9259259104728699 170.0 4.4
201506160616A 1.0 0.8196721076965332 279.0 5.0
201511261351A 1.75 0.9259259104728699 221.0 3.4
201605131257A 1.0 1.4600000381469727 147.0 3.4
201702080006A 1.0 1.2200000286102295 73.0 3.8
201809102024A 1.0 1.600000023841858 15.0 3.4
201412112227A 2.25 1.2999999523162842 174.0 3.6
201412302117A 3.25 1.0 236.0 5.0
201503081552A 1.0 0.9803921580314636 171.0 2.8
201504211346A 1.0 1.059999942779541 149.0 3.6
201508062359A 4.0 1.2400000095367432 149.0 5.0
201702242346A 1.25 0.9803921580314636 249.0 4.4
201803091623A 1.0 1.600000023841858 27.0 3.4
201809070510A 3.0 0.625 289.0 4.6
201507090728A 1.0 1.4199999570846558 82.0 2.6
201509060452A 1.25 1.440000057220459 144.0 2.8
201704181711A 2.75 0.9615384340286255 273.0 5.4
201706190915A 5.25 1.1399999856948853 196.0 4.2
201709262129A 1.75 0.746268630027771 163.0 3.2
201709282311A 3.25 1.4199999570846558 102.0 2.6
201711080735A 1.75 0.9803921580314636 255.0 3.4
201804050907A 1.75 0.8620689511299133 390.0 4.2
201409302234A 3.0 1.2599999904632568 48.0 2.6
201412310006A 5.75 0.9259259104728699 224.0 4.6
201506030700A 1.75 1.0 189.0 2.6
201601260346A 4.0 1.5399999618530273 6.0 3.2
201607182109A 2.75 1.0399999618530273 170.0 2.6
201704052217A 1.25 1.2799999713897705 90.0 3.2
201705161529A 4.5 1.3799999952316284 179.0 3.6
201806171341A 3.25 1.1399999856948853 180.0 2.6
201506212128A 2.75 1.059999942779541 246.0 4.8
201604201133A 1.5 0.8928571343421936 183.0 3.2
201611302207A 2.75 1.3799999952316284 34.0 2.6
201708190200A 11.0 1.340000033378601 185.0 8.6
201711070901A 1.0 0.8928571343421936 398.0 3.8
201801111753A 1.0 0.7246376872062683 101.0 4.2
201805011947A 3.5 1.159999966621399 8.0 4.2
201809210340A 1.0 0.6756756901741028 179.0 2.8
201409161300A 1.0 1.5399999618530273 52.0 3.0
201510241731A 1.0 1.3200000524520874 41.0 2.6
201601112219A 3.75 1.2400000095367432 39.0 3.2
201602201551A 4.5 1.2400000095367432 103.0 3.8
201704190501A 2.0 1.340000033378601 177.0 3.0
201707300330A 1.0 0.8771929740905762 289.0 3.4
201802061837A 3.0 1.159999966621399 159.0 3.0
201809181238A 1.0 1.600000023841858 51.0 3.0
201412122022A 1.0 0.9090909361839294 254.0 3.8
201412271853A 3.25 1.600000023841858 29.0 2.6
201512061709A 3.5 1.4199999570846558 23.0 3.0
201610010425A 1.5 1.0399999618530273 196.0 4.0
201610200749A 3.0 1.4199999570846558 97.0 2.6
201611121615A 3.75 1.100000023841858 100.0 4.2
201704131705A 3.25 1.4800000190734863 155.0 3.8
201711141050A 1.0 0.9433962106704712 283.0 2.6
201505061208A 2.75 1.4199999570846558 70.0 3.0
201609210544A 3.25 1.2599999904632568 256.0 2.6
201611101735A 2.0 1.2400000095367432 28.0 3.2
201702260644A 3.25 1.5399999618530273 65.0 3.0
201801021457A 1.0 1.600000023841858 48.0 3.0
201802091143A 5.5 1.100000023841858 234.0 4.8
201808200838A 1.0 0.625 12.0 8.4
201809162111A 1.0 1.600000023841858 29.0 4.6
201407030935A 3.25 1.1399999856948853 170.0 2.6
201411170620A 3.25 1.440000057220459 101.0 2.6
201507171849A 1.0 0.9615384340286255 239.0 4.0
201603040425A 3.25 1.4600000381469727 69.0 2.6
201804242157A 2.0 1.399999976158142 84.0 3.0
201804301824A 1.0 1.100000023841858 291.0 3.0
201809090006A 1.0 0.8771929740905762 104.0 4.0
201604250802A 2.0 0.9090909361839294 196.0 3.4
201610181636A 5.5 1.3200000524520874 187.0 4.6
201701021314A 1.0 0.9090909361839294 189.0 7.0
201709071736A 1.0 0.9803921580314636 115.0 3.2
201801161957A 3.75 1.2400000095367432 172.0 3.4
201808281309A 3.25 1.559999942779541 126.0 3.0
201809060513A 1.0 0.625 244.0 3.8
201809260037A 1.25 0.6756756901741028 315.0 4.4
201503172016A 3.5 1.0399999618530273 151.0 3.0
201509011608A 3.5 1.5199999809265137 35.0 3.4
201605270408A 2.25 0.9259259104728699 314.0 8.2
201706290703A 2.25 1.059999942779541 79.0 5.2
201711050135A 3.5 1.3799999952316284 77.0 2.8
201712161122A 3.0 1.5 206.0 3.0
201802092359A 1.0 1.0 276.0 3.4
201805172143A 4.0 1.2599999904632568 29.0 3.8
201409101631A 1.0 1.2799999713897705 137.0 3.2
201503220546A 2.0 0.9433962106704712 225.0 5.4
201504031744A 4.75 1.2799999713897705 181.0 3.8
201504281639A 1.0 0.9433962106704712 261.0 5.4
201509070846A 1.0 1.0800000429153442 215.0 4.0
201512182214A 1.0 0.8474576473236084 36.0 2.6
201701021015A 5.5 1.440000057220459 88.0 4.4
201706172226A 1.0 1.059999942779541 199.0 5.4
