id duration num_waveforms
201706150311A 12.05 3
200701020313A 3.35 5
200708272221A 11.9 10
201309110711A 0.05 73
201106012334A 3.0 4
201305030610A 0.05 73
200905011257A 3.25 12
201107151800A 0.05 73
200511211536A 4.35 9
201301311714A 0.05 70
200504190146A 3.45 15
201705070231A 4.85 5
201410010241A 7.3 1
201211121115A 3.95 17
201606050247A 2.2 1
201409180417A 12.0 2
201508281508A 3.0 5
200602170213A 0.05 71
200510270841A 7.5 12
201611230959A 8.3 12
201008071604A 3.75 1
200908031418A 3.75 2
200605261025A 4.15 2
201303270125A 4.4 1
201205072001A 7.05 2
201309061133A 0.05 73
200908091055A 16.25 18
200511231933A 2.4 24
200903130907A 14.5 1
200502221120A 4.25 3
201402202312A 0.05 72
201406301137A 10.1 10
200908221318A 9.7 4
200806292053A 0.05 73
201608220933A 5.45 12
201210230853A 12.35 16
200704010251A 3.45 3
201707121948A 2.45 11
201708161251A 5.5 4
201008182333A 2.35 12
201608251704A 4.95 15
201202011557A 14.4 2
200812150531A 35.05 9
200507010936A 3.2 20
200501161804A 5.5 4
201412051601A 0.05 72
200707181801A 5.05 1
201107181815A 0.05 73
200604010544A 0.05 71
201601300016A 3.25 5
201011062057A 12.5 1
200708272224A 12.95 1
201103031152A 11.0 5
200606161829A 3.9 7
200809180929A 9.4 1
201206261417A 12.25 4
201310010338A 0.05 72
201406301955A 17.5 13
200501270356A 31.45 14
201203161837A 7.35 12
201309040018A 0.05 73
201212081426A 8.0 4
200505211629A 8.85 5
201304120524A 9.45 1
201601300325A 11.3 26
200807091229A 0.05 73
201708110528A 17.25 37
201703010608A 9.75 5
200504140956A 7.5 4
201505031430A 0.05 72
201308041556A 0.05 73
201007302043A 7.35 3
201003080947A 20.35 26
201104291312A 6.9 3
201012151438A 4.5 3
200510040433A 7.45 7
201611240035A 14.35 5
200701151817A 15.15 3
201112011120A 6.1 4
200507191716A 10.7 4
201204180537A 3.55 17
201304210322A 16.05 17
201510200929A 7.4 12
201607292118A 20.2 49
201002050648A 7.05 5
200505282055A 2.7 7
201506180828A 0.05 73
201303110534A 0.05 71
201301221329A 0.05 70
200502241858A 6.0 5
201207090720A 6.45 9
201307281136A 0.05 72
200510151551A 18.8 23
201601052159A 2.5 4
201201262204A 17.5 4
